"age","failures","absences","G1","G2","G3","female","rural","bigFamily","parentsApart","extraSchool","familyHelp","seeksCollege","significantOther"
18,0,6,5,6,6,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
17,0,4,5,5,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,3,10,7,8,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
15,0,2,15,14,15,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,4,6,10,10,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,10,15,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,12,12,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,0,6,6,5,6,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
15,0,0,16,18,19,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
15,0,0,14,15,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,10,8,9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,4,10,12,12,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,14,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,10,10,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,14,16,16,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
16,0,4,14,14,14,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,6,13,14,14,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,4,8,10,10,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
17,3,16,6,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,4,8,10,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,0,13,14,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,0,12,15,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,2,15,15,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,0,13,13,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,10,9,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,2,14,6,9,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,12,12,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
